name,start_time,open_close_time,close_close_time,is_active
MILAN MORNING,12:00 PM,10:15 AM, 11:15 AM,true
MILAN MORNING,12:00 PM,10:15 AM, 11:15 AM,true
SRIDEVI,12:00 PM,11:35 AM, 12:35 PM,true
KALYAN MORNING,12:00 PM,11:00 AM, 12:02 PM,true
PADMAVATHI,12:00 PM,11:40 AM, 12:40 PM,true
MADHURI,12:00 PM,11:45 AM, 12:45 PM,true
RAJDHANI MORNING [main],12:00 PM,11:25 AM, 12:55 PM,true
SRIDEVI MORNING,12:00 PM,9:30 AM, 10:30 AM,true
MAHARANI,12:00 PM,12:15 PM, 02:15 PM,true
KARNATAKA DAY,12:00 PM,10:00 AM, 11:00 AM,true
TIME BAZAR MORNING,12:00 PM,11:10 AM, 12:10 PM,true
TIME BAZAR,12:00 PM,1:10 PM, 02:10 PM,true
TARA MUMBAI DAY,12:00 PM,1:35 PM, 03:00 PM,true
PRABHAT,12:00 PM,1:30 PM, 03:00 PM,true
DIAMOND,11:15 PM,1:30 PM, 03:00 PM,true
TIME BAZAR DAY,12:15 AM,2:00 PM, 04:00 PM,true
BK BAZAR,12:00 PM,2:00 PM, 04:00 PM,true
MILAN DAY,12:00 PM,3:10 PM, 05:10 PM,true
MAIN BAZAR DAY,12:00 PM,3:35 PM, 05:35 PM,true
PUNA BAZAR,12:00 PM,1:15 PM, 03:15 PM,true
KALYAN,12:00 PM,3:45 PM, 05:45 PM,true
SRIDEVI NIGHT,12:00 PM,7:15 PM, 08:15 PM,true
DIAMOND NIGHT,12:00 PM,8:00 PM, 09:00 PM,true
MADHURI NIGHT,12:00 PM,6:45 PM, 07:45 PM,true
NIGHT TIME BAZAR,12:00 PM,8:35 PM, 10:35 PM,true
TARA MUMBAI NIGHT,12:00 PM,8:30 PM, 10:30 PM,true
MILAN NIGHT,12:00 PM,9:10 PM, 11:10 PM,true
RAJDHANI NIGHT,12:00 PM,9:35 PM, 11:45 PM,true
MAIN BAZAR,12:00 PM,10:00 PM, 12:10 AM,true
MAHARANI DAY,12:00 PM,5:15 PM, 07:15 PM,true
SRIDEVI DAY,12:00 PM,1:30 PM, 02:30 PM,true
MUMBAI MORNING,12:00 PM,1:40 PM, 02:40 PM,true
KALYAN NIGHT,12:00 PM,9:30 PM, 11:30 PM,true
PRABHAT NIGHT,12:00 PM,8:30 PM, 10:30 PM,true
NAMASTHE,12:00 PM,1:45 PM, 03:45 PM,true
NAMASTHE NIGHT,12:00 PM,7:00 PM, 09:00 PM,true
GUJRAT,12:00 PM,12:25 PM, 01:40 PM,true
CHENNAI BAZAR,12:00 PM,1:20 PM, 03:20 PM,true
OLD MAIN MUMBAI,12:00 PM,9:30 PM, 11:30 PM,true
MADHUR MORNING,12:00 PM,11:30 AM, 12:30 PM,true
MADHUR DAY,12:00 PM,1:30 PM, 02:30 PM,true
MADHUR NIGHT,12:00 PM,8:30 PM, 10:30 PM,true
RATAN KHATRI,12:00 PM,10:00 PM, 12:00 AM,true
MAHARANI NIGHT,12:00 PM,10:15 PM, 12:15 AM,true
PADMAVATHI NIGHT,12:00 PM,7:45 PM, 08:45 PM,true
JAY SHREE DAY,12:00 PM,11:05 AM, 12:05 PM,true
SRI DHANALAXMI,12:00 PM,12:00 PM, 01:00 PM,true
MADHUR NAGPUR NIGHT,12:00 PM,8:10 PM, 10:10 PM,true
BOMBAY NIGHT,12:00 PM,9:35 PM, 12:05 AM,true
SUNDAY BAZAR,12:00 PM,12:30 PM, 02:45 PM,true
SUNDAY BAZAR NIGHT,12:00 PM,8:30 PM, 10:30 PM,true
PAISA BAZAR DAY,12:00 PM,3:30 PM, 05:30 PM,true
PAISA BAZAR NIGHT,12:00 PM,9:20 PM, 11:20 PM,true
PAISA BAZAR NIGHT,12:00 PM,9:20 PM, 11:20 PM,true
SUPER GOA DAY,12:00 PM,3:15 PM, 05:15 PM,true
BOMBAY DAY,12:00 PM,2:05 PM, 03:05 PM,true
KALYAN SRIDEVI,12:00 PM,11:30 AM, 12:30 PM,true
KALYAN SRIDEVI NIGHT,12:00 PM,7:30 PM, 08:30 PM,true
TIRUPATI DAY,12:00 PM,12:00 PM, 01:00 PM,true
TIRUPATI NIGHT,12:00 PM,7:00 PM, 08:00 PM,true
CENTRAL MUMBAI,12:00 PM,2:00 PM, 03:00 PM,true
RAJSHREE MORNING,12:00 PM,11:10 AM, 12:10 PM,true
RAJSHREE,12:00 PM,1:45 PM, 02:45 PM,true
PUNA NIGHT,12:00 PM,11:00 PM, 01:01 AM,true
MUMBAI STAR,12:00 PM,8:00 PM, 09:00 PM,true
KHAJANA,12:00 PM,3:15 PM, 05:15 PM,true
SRIDEVI [ main ],12:00 PM,11:35 AM, 12:35 PM,true
SRIDEVI [ main ] NIGHT,12:00 PM,7:35 PM, 08:35 PM,true
PUNA NIGHT  [ main ],12:00 PM,10:45 PM, 12:45 AM,true
MUMBAI STAR [ main ],12:00 PM,7:35 PM, 08:35 PM,true
CENTRAL BAZAR,12:00 PM,3:00 PM, 04:00 PM,true
SUPREME DAY,12:00 PM,3:35 PM, 05:35 PM,true
SUPREME NIGHT,12:00 PM,8:45 PM, 10:45 PM,true
MAYA DAY,12:00 PM,2:00 PM, 04:00 PM,true
MAYA NIGHT,12:00 PM,8:30 PM, 10:30 PM,true
SANDESH,12:00 PM,11:35 AM, 12:35 PM,true
MAHARAJ TIME,12:00 PM,1:00 PM, 02:00 PM,true
MAHARAJ DAY,12:00 PM,3:00 PM, 05:00 PM,true
MAHARAJ NIGHT,12:00 PM,9:00 PM, 11:00 PM,true
SITA MORNING,12:00 PM,9:45 AM, 10:45 AM,true
KALYAN GOLD NIGHT,12:00 PM,10:35 PM, 01:50 AM,true
RATAN DAY,12:00 PM,11:20 AM, 01:20 PM,true
SRILAKSHMI,12:00 PM,11:20 AM, 12:20 PM,true
MAHARASHTRA,12:00 PM,2:45 PM, 05:10 PM,true
WORLI,12:00 PM,8:30 PM, 10:30 PM,true
WORLI MUMBAI DAY,12:00 PM,1:30 PM, 02:30 PM,true
MAIN MUMBAI RK,12:00 PM,9:35 PM, 12:02 AM,true
WORLI MUMBAI,12:00 PM,9:00 PM, 11:00 PM,true
SITA DAY,12:00 PM,1:45 PM, 02:45 PM,true
SATYAM MUMBAI,12:00 PM,12:35 PM, 01:35 PM,true
COUNTRY BAZAR,12:00 PM,1:20 PM, 02:20 PM,true
ROSE BAZAR DAY,12:00 PM,2:30 PM, 05:55 PM,true
ROSE BAZAR NIGHT,12:00 PM,9:45 PM, 12:02 AM,true
JANTA MORNING,12:00 PM,1:00 PM, 02:00 PM,true
CENTRAL BOMBAY,12:00 PM,3:00 PM, 04:00 PM,true
TEEN PATTI,12:00 PM,7:45 PM, 08:45 PM,true
SUPER TIME,12:00 PM,12:55 PM, 01:55 PM,true
BHAGYALAXMI,12:00 PM,1:45 PM, 02:45 PM,true
KAALI,12:00 PM,10:50 PM, 12:50 AM,true
MAIN MUMBAI NIGHT,12:00 PM,9:10 PM, 11:10 PM,true
MAHADEVI,12:00 PM,4:30 PM, 06:30 PM,true
KALYAN GOLD,12:00 PM,4:20 PM, 06:20 PM,true
SITA NIGHT,12:00 PM,6:45 PM, 07:45 PM,true
KAMAL MORNING,12:00 PM,12:10 PM, 01:10 PM,true
KAMAL MORNING,12:00 PM,12:10 PM, 01:10 PM,true
KAMAL DAY,12:00 PM,3:40 PM, 05:40 PM,true
KAMAL NIGHT,12:00 PM,8:45 PM, 10:45 PM,true
RAJDHANI SUNDAY,12:00 PM,10:30 PM, 12:30 AM,true
ANDHRA MORNING,12:00 PM,10:40 AM, 11:40 AM,true
ANDHRA DAY,12:00 PM,3:35 PM, 05:35 PM,true
ANDHRA NIGHT,12:00 PM,8:45 PM, 10:45 PM,true
MAHADEVI MORNING,12:00 PM,11:45 AM, 12:45 PM,true
MAHADEVI NIGHT,12:00 PM,7:50 PM, 08:50 PM,true
KALYANI DAY,12:00 PM,1:00 PM, 03:00 PM,true
KALYANI NIGHT,12:00 PM,8:00 PM, 10:30 PM,true
DELHI BAZAR,12:00 PM,4:35 PM, 06:35 PM,true
SUPER MILAN DAY,12:00 PM,12:15 PM, 02:15 PM,true
SUPER MILAN NIGHT,12:00 PM,7:15 PM, 08:15 PM,true
URMILA DAY,12:00 PM,12:35 PM, 01:35 PM,true
URMILA NIGHT,12:00 PM,8:10 PM, 09:10 PM,true
ARD GAME EMAIL US,12:00 PM,8:35 PM, 10:35 PM,true
LOKSEVA DAY,12:00 PM,11:30 AM, 12:30 PM,true
GOLDEN NIGHT,12:00 PM,8:50 PM, 10:50 PM,true
WORLI MUMBAI NIGHT,12:00 PM,9:15 PM, 11:15 PM,true
RAJDHANI DAY,12:00 PM,3:15 PM, 05:15 PM,true
TIME NIGHT,12:00 PM,8:15 PM, 10:15 PM,true
MOHINI,12:00 PM,11:00 AM, 12:30 PM,true
SUPER MATKA,12:00 PM,5:00 PM, 07:00 PM,true
BOMBAY RAJSHREE DAY,12:00 PM,1:00 PM, 03:00 PM,true
BOMBAY RAJSHREE NIGHT,12:00 PM,9:00 PM, 11:00 PM,true
CB,12:00 PM,1:30 PM, 02:30 PM,true
SRIDEVI BAZAR NIGHT,12:00 PM,9:00 PM, 11:00 PM,true
MILAN BAZAR MORNING,12:00 PM,10:40 AM, 12:40 PM,true
MILAN BAZAR DAY,12:00 PM,1:30 PM, 03:30 PM,true
MILAN BAZAR NIGHT,12:00 PM,8:30 PM, 10:30 PM,true
KALYAN MAIN BAZAR,12:00 PM,1:30 PM, 02:45 PM,true
GOWA,12:00 PM,12:30 PM, 02:20 PM,true
ADD GAMW EMAIL US,12:00 PM,12:30 PM, 02:24 PM,true
GEETA MORNING,12:00 PM,9:55 AM, 10:55 AM,true
TULSI MORNING,12:00 PM,10:20 AM, 11:20 AM,true
MEENA MORNING,12:00 PM,11:30 AM, 12:30 AM,true
SRILAXMI DAY,12:00 PM,1:45 PM, 02:45 PM,true
SUPER KING,12:00 PM,3:35 PM, 05:35 PM,true
SUPER KING NIGHT,12:00 PM,8:45 PM, 10:45 PM,true
MEENA BAZAR,12:00 PM,9:00 PM, 11:00 PM,true
KALYAN BAZAR,12:00 PM,12:15 PM, 02:15 PM,true
SRIDEVI ROYAL,12:00 PM,11:45 AM, 12:45 PM,true
RAJYOG DAY,12:00 PM,1:30 PM, 03:30 PM,true
RAJYOG NIGHT,12:00 PM,8:30 PM, 10:30 PM,true
XYZ,12:00 PM,5:30 AM, 05:30 AM,true
